Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.47688427567481995,-1.1824899911880493,78.03499603271484,2.6566888379443774,-11.24798451681588,79.05817449105696,5.308259,-2.7833412,8.343774,29.64787,-30.82123,6.0838065,-65.84766,5.239188,-16.650667,129.50507,-11.885481,1.54695,-14.527724,-0.437493,12.553927,-55.25275,5.7520447,-39.11995,65.45699,6.7240534,8.565788,10.901356,8.765226,-15.160473,31.662792,59.066032,-5.227105,2.6825738,-14.794896
1,-0.15478818118572235,-1.1523784399032593,76.86902618408203,1.0010993420416743,-14.389818253618678,74.7414337570698,4.6294146,-0.06437121,8.917293,39.477882,-34.873188,5.8137383,-73.56645,2.0291064,-18.1161,132.04822,-8.99301,-1.3471217,-19.144001,-0.6059322,14.752666,-48.53763,3.6169593,-49.463757,46.53561,16.328146,9.124299,3.9959686,3.2628152,-15.56906,34.143986,58.661884,-8.736302,3.7476866,-14.3664465
2,0.6851145625114441,-0.765116810798645,75.87699890136719,0.9353901170661182,-15.291887550104281,72.60350539937598,4.071975,0.8829341,9.192525,44.12445,-38.067287,4.5095634,-77.30842,-0.3521705,-15.462545,133.17043,-8.401921,-2.2791216,-20.337488,-1.3946501,15.564214,-49.352634,1.308836,-54.18397,33.879147,22.01985,10.142822,0.2083483,2.4992251,-16.161493,32.794186,53.044613,-11.359821,3.7794392,-15.929566
3,2.0870792865753174,0.02877914160490036,75.44232940673828,0.27709699367849355,-15.171672990656813,70.69688798229633,4.1796045,4.0286636,11.087246,46.85337,-40.488483,2.6605358,-76.76484,-1.637602,-11.237963,130.99542,-8.253555,-0.72817665,-19.868343,-2.2106984,15.416709,-51.555866,-0.8463565,-56.686573,15.632185,25.84027,10.738694,-3.4543223,3.3000026,-17.262856,30.043203,41.909855,-16.98605,3.7270424,-17.168533
4,4.02598762512207,1.2474493980407715,76.01904296875,0.0656451476375144,-12.073017410963626,68.00741358394976,3.6352937,6.7878866,13.537676,45.221912,-38.8742,-1.1855565,-69.76503,-4.7989364,-3.5457203,122.64969,-8.055084,1.0519022,-17.38051,-3.3252158,14.095216,-55.241898,-2.1403167,-58.701332,-9.953445,22.782955,5.422049,-4.6062627,8.53121,-19.25796,23.614147,16.48996,-20.251755,-0.527008,-16.602798
5,6.376129150390625,2.726689577102661,76.52423095703125,0.2946035462049398,-8.382708113998977,66.47660401719348,4.3119645,8.616123,15.936304,40.44809,-35.994675,-5.3571324,-58.08836,-6.64292,3.3276408,108.64071,-4.756121,5.3540373,-13.711935,-3.4711196,12.203191,-58.03561,-2.8446882,-56.005,-23.03141,19.066856,0.19801469,-1.511489,16.574295,-21.344727,17.563055,-7.3457766,-18.488766,-5.7573905,-14.784534
6,8.88735580444336,4.263420581817627,76.79834747314453,0.3600475037002637,-5.08112840048557,66.0259524469087,6.3732486,9.973625,17.648912,33.581635,-31.992182,-9.445169,-40.4844,-8.959741,9.092463,86.12001,-4.4954653,12.472487,-9.39859,-3.3173308,8.692999,-56.84042,-2.6873465,-49.193813,-29.394308,14.491014,-4.4741173,3.0298114,24.836441,-22.397604,12.322866,-27.707638,-14.726102,-7.749163,-12.937232
7,11.356395721435547,5.645124435424805,76.40718078613281,-0.5950516285139898,-1.3012974230196344,69.35461652096097,7.1292486,12.211827,15.643292,27.1747,-28.191221,-12.888409,-20.384615,-13.059888,11.520817,56.180943,-6.9914637,15.000033,-3.854229,-3.1289504,3.8758051,-51.89428,-0.9440628,-41.45626,-27.235874,9.759683,-6.4860287,5.539676,32.824894,-22.337431,5.5790544,-43.05907,-9.331362,-8.180283,-11.61306
8,13.546281814575195,6.654186725616455,75.70489501953125,-1.511777447598772,-0.8189532279836556,71.02954809423596,6.8253255,15.768315,13.373721,30.837059,-28.903234,-14.032638,-8.741523,-13.198703,12.388097,38.536823,-10.379259,15.000033,-0.7831497,-2.748148,1.1759264,-39.907597,1.7172241,-41.328407,-22.389872,9.405487,-7.9542713,8.912184,35.406784,-22.7061,4.3738866,-44.128357,-7.6883225,-8.685982,-13.586207
9,15.29554557800293,7.262797832489014,75.17672729492188,-2.5382968832932646,-2.4093598955371283,71.82229908187598,6.2086067,18.439579,9.495821,37.2736,-29.68898,-14.8863535,-2.7728832,-12.4259815,11.847148,32.307262,-14.6352825,15.000033,0.40599614,-1.9663525,-0.89666986,-21.314022,5.3118176,-41.246197,-12.247412,13.643817,-7.817653,16.120968,35.55585,-23.091866,7.4269714,-33.750244,-8.287278,-8.742235,-19.224203
